"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/2026","76,992.40","76,949.00","77,638.35","76,850.00","44.94K","0.30%"
"07/08/2026","76,758.60","78,145.00","78,145.00","76,559.20","53.74K","-2.13%"
"07/07/2026","78,429.10","78,650.00","78,899.00","78,300.75","16.50K","-0.20%"
"07/06/2026","78,583.50","78,200.00","78,660.00","78,111.55","11.16K","0.58%"
"07/03/2026","78,128.90","78,320.00","78,420.00","78,059.45","27.26K","0.29%"
"07/02/2026","77,906.20","77,650.00","77,962.05","77,520.50","35.18K","0.65%"
"07/01/2026","77,400.05","77,345.00","77,527.00","76,989.25","26.40K","0.34%"
"06/30/2026","77,140.10","77,439.00","77,439.00","76,901.00","18.50K","-0.06%"
"06/29/2026","77,187.35","77,679.95","77,710.00","77,111.05","25.30K","-0.64%"
"06/25/2026","77,684.55","77,699.00","78,283.35","77,575.00","45.76K","0.78%"
"06/24/2026","77,079.55","76,100.05","77,237.10","76,100.05","40.72K","1.01%"
"06/23/2026","76,306.55","77,000.00","77,220.00","76,141.90","23.18K","-1.14%"
"06/22/2026","77,184.50","77,000.00","77,350.00","77,000.00","15.78K","0.32%"
"06/19/2026","76,936.30","77,053.00","77,200.05","76,569.30","23.98K","-0.69%"
"06/18/2026","77,467.85","77,080.95","77,571.35","76,951.00","44.62K","0.40%"
"06/17/2026","77,156.55","76,821.00","77,196.15","76,812.15","26.50K","0.44%"
"06/16/2026","76,821.45","76,695.00","76,869.00","76,432.40","17.82K","0.54%"
"06/15/2026","76,411.25","76,945.00","76,945.00","76,262.35","36.56K","0.94%"
"06/12/2026","75,699.70","74,691.00","75,796.70","74,465.00","55.32K","2.34%"
"06/11/2026","73,971.80","73,741.00","74,512.50","73,661.95","45.06K","-0.20%"
"06/10/2026","74,120.20","74,299.95","74,736.25","74,008.50","26.24K","-0.19%"
"06/09/2026","74,263.70","74,250.00","74,300.00","73,700.00","21.56K","0.72%"
"06/08/2026","73,734.40","73,939.95","74,200.00","73,601.05","21.10K","-1.12%"
"06/05/2026","74,566.10","74,999.00","74,999.00","74,275.05","32.94K","-0.27%"
"06/04/2026","74,768.45","74,425.00","74,850.00","74,162.90","79.12K","-0.08%"
"06/03/2026","74,825.05","75,039.90","75,100.00","73,900.00","68.00K","-0.53%"
"06/02/2026","75,220.00","74,399.90","75,309.75","74,100.60","34.06K","0.72%"
"06/01/2026","74,684.85","75,622.65","75,622.65","74,600.00","41.20K","-1.24%"
"05/29/2026","75,622.65","76,550.00","76,651.25","75,461.25","65.34K","-1.00%"
"05/27/2026","76,385.60","76,300.10","76,649.00","76,222.05","41.94K","0.42%"
"05/26/2026","76,066.60","76,594.95","76,658.10","75,923.00","23.92K","-0.70%"
"05/25/2026","76,605.40","76,089.00","76,811.00","75,988.05","26.90K","1.49%"
"05/22/2026","75,478.30","75,249.95","75,889.00","75,249.95","29.20K","0.42%"
"05/21/2026","75,162.10","75,801.00","75,959.55","74,943.65","51.10K","-0.33%"
"05/20/2026","75,411.50","74,605.00","75,560.00","74,496.65","28.66K","0.18%"
"05/19/2026","75,272.35","75,396.80","75,850.00","75,184.00","24.72K","-0.17%"
"05/18/2026","75,396.80","74,601.30","75,535.55","74,325.00","30.86K","0.09%"
"05/15/2026","75,332.45","75,575.05","75,990.00","75,170.00","24.26K","-0.30%"
"05/14/2026","75,558.40","75,339.00","75,871.65","74,683.15","61.70K","0.89%"
"05/13/2026","74,890.75","74,900.00","75,437.50","74,421.20","42.24K","0.03%"
"05/12/2026","74,870.05","75,900.00","76,028.20","74,750.00","47.46K","-1.97%"
"05/11/2026","76,377.80","76,750.00","77,057.60","76,306.00","29.12K","-1.67%"
"05/08/2026","77,675.45","78,090.80","78,092.95","77,430.00","23.00K","-0.70%"
"05/07/2026","78,225.10","78,840.00","78,840.00","78,050.00","73.66K","-0.42%"
"05/06/2026","78,557.15","77,802.00","78,635.00","77,270.00","60.66K","1.32%"
"05/05/2026","77,537.40","77,520.00","77,674.95","76,950.05","29.60K","-0.47%"
"05/04/2026","77,906.35","78,299.00","78,500.00","77,450.00","33.64K","0.31%"
"04/30/2026","77,666.55","77,700.05","77,849.95","76,739.80","45.38K","0.19%"
"04/29/2026","77,516.20","77,250.00","78,064.10","77,100.00","28.96K","0.74%"
"04/28/2026","76,947.25","77,349.95","77,520.00","76,845.75","17.86K","-0.63%"
"04/27/2026","77,432.25","76,968.00","77,512.10","76,968.00","21.52K","0.86%"
"04/24/2026","76,770.55","77,501.00","77,949.95","76,489.10","27.34K","-1.22%"
"04/23/2026","77,721.15","78,050.00","78,195.00","77,645.05","66.04K","-1.13%"
"04/22/2026","78,605.50","79,144.00","79,167.20","78,473.00","31.64K","-0.97%"
"04/21/2026","79,374.95","78,451.00","79,435.55","78,451.00","28.08K","1.05%"
"04/20/2026","78,550.30","78,759.00","79,023.00","78,350.00","22.82K","-0.10%"
"04/17/2026","78,631.80","77,935.00","78,758.15","77,660.90","22.82K","0.68%"
"04/16/2026","78,101.75","78,700.00","78,800.00","77,804.00","76.98K","-0.26%"
"04/15/2026","78,302.55","78,450.00","78,599.95","78,100.00","41.94K","1.60%"
"04/13/2026","77,072.30","76,221.00","77,287.95","76,221.00","42.86K","-0.97%"
"04/10/2026","77,828.10","77,301.30","77,894.10","77,266.00","30.82K","0.99%"
"04/09/2026","77,063.45","77,511.00","77,784.45","76,700.00","60.52K","-1.07%"
"04/08/2026","77,894.35","77,490.00","78,032.85","76,709.65","84.56K","3.99%"
"04/07/2026","74,907.75","74,200.00","74,994.40","73,754.95","39.44K","0.38%"
"04/06/2026","74,627.20","73,765.40","74,731.80","73,224.10","44.80K","1.17%"
"04/02/2026","73,765.35","72,550.00","73,963.40","72,133.50","140.94K","0.07%"
"04/01/2026","73,713.05","73,782.00","74,515.65","73,600.00","129.32K","1.47%"
"03/30/2026","72,644.30","73,111.00","73,825.05","72,459.85","258.68K","-2.14%"
"03/27/2026","74,236.05","75,655.00","75,655.00","74,200.00","248.42K","-2.25%"
"03/25/2026","75,947.50","75,460.00","76,430.00","75,301.00","54.30K","2.48%"
"03/24/2026","74,111.80","73,751.00","74,500.00","73,088.65","63.46K","1.91%"
"03/23/2026","72,722.40","73,900.00","73,900.00","72,561.10","60.60K","-2.51%"
"03/20/2026","74,597.00","74,440.00","75,375.00","74,388.45","54.14K","0.43%"
"03/19/2026","74,274.95","75,300.00","75,631.30","73,933.45","88.68K","-3.21%"
"03/18/2026","76,739.60","76,421.00","77,060.00","76,318.85","57.78K","0.74%"
"03/17/2026","76,174.90","75,982.00","76,351.75","75,439.00","49.98K","0.78%"
