"Date","Bitcoin"
"2021-07-01",62
"2021-08-01",64
"2021-09-01",61
"2021-10-01",77
"2021-11-01",71
"2021-12-01",71
"2022-01-01",87
"2022-02-01",75
"2022-03-01",65
"2022-04-01",51
"2022-05-01",73
"2022-06-01",85
"2022-07-01",60
"2022-08-01",48
"2022-09-01",45
"2022-10-01",37
"2022-11-01",52
"2022-12-01",36
"2023-01-01",43
"2023-02-01",35
"2023-03-01",48
"2023-04-01",44
"2023-05-01",39
"2023-06-01",40
"2023-07-01",37
"2023-08-01",39
"2023-09-01",33
"2023-10-01",40
"2023-11-01",43
"2023-12-01",48
"2024-01-01",60
"2024-02-01",59
"2024-03-01",91
"2024-04-01",70
"2024-05-01",49
"2024-06-01",43
"2024-07-01",47
"2024-08-01",50
"2024-09-01",42
"2024-10-01",42
"2024-11-01",100
"2024-12-01",89
"2025-01-01",70
"2025-02-01",59
"2025-03-01",60
"2025-04-01",51
"2025-05-01",52
"2025-06-01",46
"2025-07-01",58
"2025-08-01",80
"2025-09-01",57
"2025-10-01",70
"2025-11-01",81
"2025-12-01",64
"2026-01-01",54
"2026-02-01",90
"2026-03-01",62
"2026-04-01",52
"2026-05-01",47
"2026-06-01",53
"2026-07-01",36
